Run,Best Fitness,Best Solution,Runtime (s)
0,0.7069532017017564,"[844.4374093398956, 7.579568233962731]",280.24733710289
1,0.7032,"[104.58171658874731, 9.267512870708638]",251.1527178287506
2,0.7416555634301912,"[672.9958280214213, 3.048398798349568]",548.2692384719849
3,0.7183793398824017,"[238.04083062918215, 5.442337830036989]",192.49485754966736
4,0.8499209006073174,"[486.8603376258227, 0.0001]",491.28733587265015
5,0.7087123496850544,"[622.939404720213, 7.417895713908368]",222.4115571975708
6,0.7069532017017564,"[865.9582542852709, 7.58275240493455]",309.1217510700226
7,0.7580345017341741,"[323.90038155667906, 1.5085766543276269]",230.8801245689392
8,0.7025252689191804,"[226.7831887951107, 9.622954128840245]",221.2978801727295
9,0.74089192691071,"[373.0684017669192, 3.031321541186848]",235.42284560203552
10,0.7319068736141907,"[571.4454544304446, 4.288947657845679]",107.11649870872498
11,0.7236721921609243,"[401.4195192877614, 5.2464739969165155]",200.67458486557007
12,0.711505347223932,"[467.91448211509015, 6.531100940263813]",172.71429872512817
13,0.7104631253105492,"[259.08259086630204, 6.852611403846073]",116.21407079696655
14,0.7097666788188115,"[155.05454231576192, 6.49940456196376]",279.17033648490906
15,0.8486867359628335,"[960.1248063820673, 0.0001]",201.51266264915466
16,0.7319068736141907,"[358.05592639959497, 4.595976228436197]",201.09128260612488
17,0.7047721843416026,"[522.0317113215219, 8.066927102109078]",140.88909482955933
18,0.7097666788188115,"[191.92519314868554, 6.551798687131672]",178.91149258613586
19,0.7065564738292012,"[677.1581142175903, 7.8491350697355]",157.0745120048523
20,0.7104631253105492,"[905.6491122069033, 6.862572944851323]",147.8943111896515
21,0.7087123496850544,"[156.00838505163557, 6.855522619221896]",194.76674437522888
22,0.7549923426207046,"[944.2181610847364, 1.4397169086285806]",221.63684582710266
23,0.7029791459781529,"[924.8727651007827, 9.486062919353971]",103.70628190040588
24,0.7023016586875573,"[712.3717535281359, 8.398013383145102]",95.51768755912781
25,0.7018510284791613,"[377.02460616014696, 9.267892398412435]",95.46497559547424
26,0.7531786761171053,"[747.3165370966612, 2.0276060481958624]",134.02966904640198
27,0.7087123496850544,"[648.5323702568852, 7.013725272732651]",109.63687586784363
28,0.764139879901095,"[125.78625906482492, 1.5261661126987944]",321.5090956687927
29,0.7361032674465511,"[555.4387140977485, 3.4153652734318096]",143.75204062461853
