Run,Best Parameters,Best Cross-Validation F1-Score,Tuning Time (s),Test Accuracy,Test F1-Score,Test Precision,Test Recall
1,[8.10985052 0.37551177],0.6651171851817447,504.7349319458008,0.832,0.8252380952380952,0.8234158415841585,0.832
2,[1.98637743 0.13502245],0.6631678069526127,775.281553030014,0.865,0.8594340166716204,0.8595408978831083,0.865
3,[0.74044043 0.0228355 ],0.6654968759596561,394.87543201446533,0.857,0.8502438842203549,0.8505999005140109,0.857
4,[5.30197612 0.01659454],0.6677878942668655,1009.2770330905914,0.866,0.8616270396270396,0.86095,0.866
5,[0.81782178 0.01      ],0.6642108349676533,470.6561360359192,0.857,0.8484193149240729,0.8507898875383552,0.857
6,[3.16249928 0.21230688],0.6616600724465903,853.5708267688751,0.863,0.8581442423550323,0.8575605438994632,0.863
7,[10.          0.04956692],0.6657865010026661,694.8210136890411,0.865,0.8612103038404567,0.8602055529989262,0.865
8,[7.64390475 0.03429432],0.6665175214861717,770.0471048355103,0.867,0.8630261065224987,0.8621972792058891,0.867
9,[4.31402641 0.05470601],0.6642004670064546,1590.4597072601318,0.869,0.8648460333459875,0.8642235630358844,0.869
10,[10.  1.],0.6643605232612616,31432.976682662964,0.798,0.7782064341602004,0.7792455431892052,0.798
11,[10.          0.09805586],0.6654647144636995,597.7801735401154,0.864,0.859812382739212,0.8589250353606789,0.864
12,[10.  1.],0.6627949508750587,645.4462056159973,0.798,0.7782064341602004,0.7792455431892052,0.798
13,[3.31647988 0.21882277],0.6639096322903866,443.16110134124756,0.862,0.8574965034965034,0.8566500000000001,0.862
14,[3.63417272 0.01258565],0.6661674390324506,427.10015296936035,0.863,0.8578834416657486,0.8574715719063545,0.863
15,[10.          0.03879069],0.6677878942668655,465.993994474411,0.867,0.8630261065224987,0.8621972792058891,0.867
16,[0.78243602 0.02265453],0.6642261957831068,447.31226658821106,0.857,0.8502438842203549,0.8505999005140109,0.857
17,[1.33149781 0.01645198],0.6637586862434198,668.3347301483154,0.86,0.853528285341017,0.8539510184671475,0.86
18,[4.27173389 0.03203419],0.6665887497968276,609.2893931865692,0.868,0.8636923076923076,0.8630999999999999,0.868
19,[10.          0.28511661],0.6657819094267631,851.5790286064148,0.842,0.8388043608345538,0.8370245654086703,0.842
20,[5.07514475 0.04217928],0.6673515716553045,857.6098065376282,0.87,0.8659971305595409,0.8653465346534653,0.87
21,[0.52023302 0.01      ],0.6657841549408102,573.1708414554596,0.854,0.8437435172088638,0.8478713968957872,0.854
22,[0.2540185 0.01     ],0.6646201824329414,624.0637652873993,0.843,0.8256438023896348,0.8391778754845591,0.843
23,[5.66875078 0.02745109],0.6666264540810349,734.6939058303833,0.867,0.8630261065224987,0.8621972792058891,0.867
24,[10.          0.04048954],0.6666267656477207,1250.115473985672,0.869,0.8653225911340728,0.864458966099095,0.869
25,[1.97347697 0.05235682],0.6645345369505576,796.4129836559296,0.871,0.866182218794756,0.8661710463449593,0.871
26,[10.          0.12935314],0.6653985743892403,463.80997133255005,0.856,0.8525935483870968,0.8511609403254974,0.856
27,[0.40324122 0.01699815],0.6662815328326593,442.2320177555084,0.856,0.846550399054094,0.8499175824175824,0.856
28,[2.22017935 0.02561484],0.6665238742846094,1981.9219207763672,0.868,0.8631962270348906,0.8629383693776018,0.868
29,[0.76107231 0.01600983],0.663536554359272,302.5533609390259,0.858,0.8508513386072718,0.8517058491630619,0.858
30,[1.94088367 0.03008686],0.6642177872659963,966.5954701900482,0.867,0.8620328302302523,0.861821309125657,0.867
